tribunal_enc,tema_enc,taxa_vitoria_juiz,taxa_vitoria_tribunal,taxa_vitoria_tema,prec_norm,qualidade_provas,segundo_grau,label,numero_processo
12,1041,0.46875,0.7495151906916613,0.801762114537445,0.8666666666666667,1,0,1,00000020820228260128
12,818,0.16666666666666666,0.7495151906916613,0.588469184890656,1.0,1,0,0,00000020920208260118
12,818,0.7,0.7495151906916613,0.588469184890656,1.0,1,0,1,00000021220228260450
12,1030,0.9452054794520548,0.7495151906916613,0.8079268292682927,1.0,1,0,1,00000022120218260426
12,1041,0.9895833333333334,0.7495151906916613,0.801762114537445,1.0,1,0,1,00000022520218260651
12,463,0.5,0.7495151906916613,0.5723270440251572,1.0,1,0,1,00000022920248260066
12,764,1.0,0.7495151906916613,0.4772727272727273,1.0,1,0,1,00000024220208260495
12,964,0.515625,0.7495151906916613,0.9635036496350365,1.0,1,0,1,00000025120208260589
12,725,0.7272727272727273,0.7495151906916613,0.7115384615384616,1.0,1,0,1,00000025820238260294
12,1040,0.7272727272727273,0.7495151906916613,0.7945945945945946,1.0,1,0,0,00000026120218260445
12,38,1.0,0.7495151906916613,0.6812227074235808,1.0,1,0,1,00000026420208260617
12,158,0.0,0.7495151906916613,0.7532467532467533,1.0,1,0,0,00000026520238260615
12,569,0.8571428571428571,0.7495151906916613,0.6,1.0,1,0,1,00000027720228260299
12,1041,0.875,0.7495151906916613,0.801762114537445,1.0,1,0,1,00000028320238260415
12,898,0.5,0.7495151906916613,0.7857142857142857,0.9666666666666667,1,0,1,00000028520218260146
12,1030,0.515625,0.7495151906916613,0.8079268292682927,1.0,1,0,1,00000030220218260589
12,1045,0.9452054794520548,0.7495151906916613,1.0,1.0,1,0,1,00000030620218260426
12,1053,0.76,0.7495151906916613,0.9166666666666666,1.0,1,0,1,00000030820238260435
12,164,1.0,0.7495151906916613,0.9166666666666666,0.6666666666666666,1,0,1,00000031220228260445
12,26,0.75,0.7495151906916613,0.710727969348659,1.0,1,0,1,00000031620218260552
12,818,0.3333333333333333,0.7495151906916613,0.588469184890656,1.0,1,0,1,00000033420228260664
12,420,0.3333333333333333,0.7495151906916613,0.7783251231527094,1.0,1,0,0,00000033720218260157
12,1041,0.9895833333333334,0.7495151906916613,0.801762114537445,1.0,1,0,1,00000033920238260651
12,204,1.0,0.7495151906916613,0.7769230769230769,1.0,1,0,1,00000034220218260608
12,752,1.0,0.7495151906916613,1.0,1.0,1,0,1,00000034520248260282
12,368,0.5384615384615384,0.7495151906916613,0.4620938628158845,1.0,1,0,1,00000035920238260127
12,1053,1.0,0.7495151906916613,0.9166666666666666,1.0,1,0,1,00000036020248260180
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000036320208260580
12,424,0.8620689655172413,0.7495151906916613,0.46,0.9,1,0,1,00000036420228260072
12,964,1.0,0.7495151906916613,0.9635036496350365,1.0,1,0,1,00000036620208260288
12,4,1.0,0.7495151906916613,1.0,1.0,1,0,1,00000036620228260621
12,38,1.0,0.7495151906916613,0.6812227074235808,1.0,1,0,1,00000036920218260696
12,1053,1.0,0.7495151906916613,0.9166666666666666,1.0,1,0,1,00000037420248260531
12,306,1.0,0.7495151906916613,1.0,1.0,1,0,1,00000037920218260434
12,964,0.9583333333333334,0.7495151906916613,0.9635036496350365,1.0,1,0,1,00000040220208260272
12,337,1.0,0.7495151906916613,0.7647058823529411,1.0,1,0,1,00000041020238260106
12,27,1.0,0.7495151906916613,0.760806916426513,1.0,1,0,1,00000041420208260559
12,1041,0.3333333333333333,0.7495151906916613,0.801762114537445,1.0,1,0,0,00000041920228260664
12,377,0.8888888888888888,0.7495151906916613,0.623721881390593,0.8666666666666667,1,0,1,00000042320228260016
12,1041,0.9895833333333334,0.7495151906916613,0.801762114537445,0.7666666666666667,1,0,1,00000042420238260651
12,337,0.375,0.7495151906916613,0.7647058823529411,1.0,1,0,1,00000042920208260457
12,347,0.0,0.7495151906916613,0.696969696969697,0.9666666666666667,1,0,0,00000043020248260282
12,29,1.0,0.7495151906916613,0.7694174757281553,1.0,1,0,1,00000043420208260617
12,135,0.5,0.7495151906916613,0.5714285714285714,1.0,1,0,0,00000043620238260356
12,4,1.0,0.7495151906916613,1.0,0.6666666666666666,1,0,1,00000044220248260569
12,565,0.8,0.7495151906916613,0.6666666666666666,0.9666666666666667,1,0,1,00000044920208260515
12,1041,0.515625,0.7495151906916613,0.801762114537445,1.0,1,0,0,00000045020228260589
12,432,1.0,0.7495151906916613,0.6666666666666666,1.0,1,0,1,00000045620248260338
12,1041,0.9895833333333334,0.7495151906916613,0.801762114537445,1.0,1,0,1,00000045820228260651
12,344,0.4,0.7495151906916613,0.6033519553072626,1.0,1,0,1,00000046420208260704
12,378,1.0,0.7495151906916613,0.3936651583710407,1.0,1,0,1,00000046820248260334
12,420,0.8620689655172413,0.7495151906916613,0.7783251231527094,1.0,1,0,0,00000047820248260072
12,9,0.8571428571428571,0.7495151906916613,0.6812749003984063,1.0,1,0,1,00000048120238260244
12,1030,0.515625,0.7495151906916613,0.8079268292682927,1.0,1,0,1,00000048420218260589
12,384,1.0,0.7495151906916613,0.972972972972973,1.0,1,0,1,00000048620208260050
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000050220208260558
12,29,0.6666666666666666,0.7495151906916613,0.7694174757281553,1.0,1,0,1,00000050720218260642
12,363,0.8888888888888888,0.7495151906916613,0.4742268041237113,1.0,1,0,1,00000050820228260016
12,818,0.65,0.7495151906916613,0.588469184890656,1.0,1,0,1,00000050820228260695
12,1040,0.6,0.7495151906916613,0.7945945945945946,1.0,1,0,1,00000051020218260059
12,650,0.9375,0.7495151906916613,0.7333333333333333,0.9666666666666667,1,0,0,00000051420228260596
12,38,1.0,0.7495151906916613,0.6812227074235808,1.0,1,0,1,00000051920208260617
12,565,0.3333333333333333,0.7495151906916613,0.6666666666666666,1.0,1,0,0,00000053220208260160
12,424,0.8620689655172413,0.7495151906916613,0.46,0.8666666666666667,1,0,1,00000053420228260072
12,35,0.0,0.7495151906916613,0.6349206349206349,0.6333333333333333,1,0,0,00000053820258260360
12,1041,0.9895833333333334,0.7495151906916613,0.801762114537445,0.8333333333333334,1,0,1,00000054320228260651
12,1030,0.6666666666666666,0.7495151906916613,0.8079268292682927,1.0,1,0,1,00000055020248260238
12,27,1.0,0.7495151906916613,0.760806916426513,1.0,1,0,1,00000056020228260128
12,21,1.0,0.7495151906916613,0.25,0.9,1,0,1,00000056520208260052
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000056720218260622
12,111,0.5,0.7495151906916613,0.781563126252505,1.0,1,0,1,00000057120208260632
12,341,0.6666666666666666,0.7495151906916613,0.7411764705882353,1.0,1,0,1,00000057720218260457
12,964,0.9375,0.7495151906916613,0.9635036496350365,1.0,1,0,1,00000058220208260596
12,4,1.0,0.7495151906916613,1.0,0.8333333333333334,1,0,1,00000058420238260626
12,383,0.9285714285714286,0.7495151906916613,1.0,1.0,1,0,1,00000059220238260106
12,818,0.4,0.7495151906916613,0.588469184890656,1.0,1,0,0,00000059320248260062
12,1043,0.75,0.7495151906916613,1.0,1.0,1,0,1,00000061520218260505
12,1030,0.6428571428571429,0.7495151906916613,0.8079268292682927,1.0,1,0,1,00000061520248260471
12,344,0.3333333333333333,0.7495151906916613,0.6033519553072626,0.8,1,0,0,00000062220248260016
12,359,0.6666666666666666,0.7495151906916613,0.4,0.4666666666666667,1,0,0,00000063720238260281
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000064520208260571
12,337,0.375,0.7495151906916613,0.7647058823529411,1.0,1,0,0,00000066220218260457
12,337,0.5384615384615384,0.7495151906916613,0.7647058823529411,1.0,1,0,1,00000067720248260127
12,69,1.0,0.7495151906916613,0.5714285714285714,1.0,1,0,1,00000068220258260114
12,681,0.6666666666666666,0.7495151906916613,0.8275862068965517,0.8,1,0,0,00000068920248260414
12,134,0.8888888888888888,0.7495151906916613,0.6666666666666666,1.0,1,0,1,00000069020228260016
12,424,0.8620689655172413,0.7495151906916613,0.46,0.8666666666666667,1,0,1,00000070420228260072
12,1041,0.875,0.7495151906916613,0.801762114537445,1.0,1,0,0,00000070820238260415
12,370,0.4,0.7495151906916613,0.3157894736842105,1.0,1,0,0,00000071020208260028
12,420,0.7,0.7495151906916613,0.7783251231527094,1.0,1,0,1,00000074220248260360
12,29,0.4,0.7495151906916613,0.7694174757281553,1.0,1,0,0,00000074420208260631
12,278,1.0,0.7495151906916613,0.7230769230769231,1.0,1,0,1,00000075620228260281
12,364,1.0,0.7495151906916613,0.6222222222222222,1.0,1,0,1,00000076520228260472
12,818,0.8333333333333334,0.7495151906916613,0.588469184890656,1.0,1,0,1,00000077120228260470
12,460,0.3333333333333333,0.7495151906916613,0.8245614035087719,1.0,1,0,1,00000077320238260264
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000077420218260545
12,344,0.875,0.7495151906916613,0.6033519553072626,1.0,1,0,1,00000077520248260252
12,964,0.46875,0.7495151906916613,0.9635036496350365,1.0,1,0,1,00000079820208260128
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000080920218260594
12,1046,1.0,0.7495151906916613,0.9375,1.0,1,0,1,00000081320218260140
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000081720228260580
12,29,0.6666666666666666,0.7495151906916613,0.7694174757281553,1.0,1,0,1,00000082320208260536
12,746,1.0,0.7495151906916613,0.5,1.0,1,0,1,00000082420208260568
12,818,0.5,0.7495151906916613,0.588469184890656,1.0,1,0,0,00000083020248260165
12,344,0.7272727272727273,0.7495151906916613,0.6033519553072626,1.0,1,0,1,00000083120248260294
12,380,0.9285714285714286,0.7495151906916613,0.9090909090909091,1.0,1,0,1,00000084720238260106
12,276,0.6666666666666666,0.7495151906916613,0.8333333333333334,1.0,1,0,1,00000085020238260493
12,472,1.0,0.7495151906916613,0.4024024024024024,1.0,1,0,1,00000085220218260127
12,559,0.6428571428571429,0.7495151906916613,0.38333333333333336,1.0,1,0,0,00000085320228260471
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000085920208260621
12,348,1.0,0.7495151906916613,0.4166666666666667,0.6,1,0,1,00000088720218260568
12,22,0.5,0.7495151906916613,0.7890127388535032,1.0,1,0,0,00000088920208260611
12,460,0.3157894736842105,0.7495151906916613,0.8245614035087719,1.0,1,0,1,00000089520208260512
12,463,0.6666666666666666,0.7495151906916613,0.5723270440251572,1.0,1,0,1,00000089820208260220
12,338,0.8333333333333334,0.7495151906916613,0.9285714285714286,1.0,1,0,1,00000089820248260595
12,96,1.0,0.7495151906916613,0.7434701492537313,1.0,1,0,1,00000090520208260537
