numero_processo,tribunal,segmento,classe_codigo,classe_nome,assunto_codigo,assunto_nome,data_ajuizamento,valor_causa,grau,orgao_julgador,municipio_ibge,n_movimentos,label
00100018420225030092,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13769,Horas Extras,2022-01-04,0,G1,1ª Vara do Trabalho de Pedro Leopoldo,3149309,53,0
00100022420225030010,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13722,Reconhecimento de Relação de Emprego,2022-01-04,0,G1,10ª VARA DO TRABALHO DE BELO HORIZONTE,3106200,64,0
00100035520225030027,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13184,Honorários na Justiça do Trabalho ,2022-01-04,0,G1,2ª Vara do Trabalho de Betim,3106705,113,0
00100017420225030160,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13787,Adicional de Horas Extras,2022-01-05,0,G1,2ª Vara do Trabalho de Formiga,3126109,301,0
00100046320225030181,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13787,Adicional de Horas Extras,2022-01-05,0,G1,43ª VARA DO TRABALHO DE BELO HORIZONTE,3106200,47,0
00100031220225030009,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13716,CTPS,2022-01-06,0,G1,9ª VARA DO TRABALHO DE BELO HORIZONTE,3106200,85,0
00100062320225030152,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13673,Rural,2022-01-06,0,G1,3ª Vara do Trabalho de Uberaba,3170107,115,0
00100070820225030152,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13673,Rural,2022-01-06,0,G1,3ª Vara do Trabalho de Uberaba,3170107,81,0
00100106020225030152,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13673,Rural,2022-01-06,0,G1,3ª Vara do Trabalho de Uberaba,3170107,83,0
00100044120225030156,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13184,Honorários na Justiça do Trabalho ,2022-01-07,0,G1,Vara do Trabalho de Frutal,3127107,49,0
00100053020225030187,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13184,Honorários na Justiça do Trabalho ,2022-01-07,0,G1,2ª Vara do Trabalho de Ouro Preto,3146107,54,0
00100068120225030165,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13787,Adicional de Horas Extras,2022-01-07,0,G1,2ª Vara do Trabalho de Nova Lima,3144805,68,0
00100114520225030152,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13673,Rural,2022-01-07,0,G1,3ª Vara do Trabalho de Uberaba,3170107,92,0
00100136420225030168,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13673,Rural,2022-01-07,0,G1,4ª Vara do Trabalho de Uberaba,3170107,103,0
00100153420225030168,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13673,Rural,2022-01-07,0,G1,4ª Vara do Trabalho de Uberaba,3170107,96,0
00100193820225030082,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13787,Adicional de Horas Extras,2022-01-07,0,G1,Vara do Trabalho de Monte Azul,3142908,97,0
00100055220225030018,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13787,Adicional de Horas Extras,2022-01-08,0,G1,18ª VARA DO TRABALHO DE BELO HORIZONTE,3106200,104,1
00100204920225030041,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13673,Rural,2022-01-08,0,G1,1ª Vara do Trabalho de Uberaba,3170107,55,0
00100205620225030168,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13673,Rural,2022-01-08,0,G1,4ª Vara do Trabalho de Uberaba,3170107,103,0
00100218920225030152,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13673,Rural,2022-01-08,0,G1,3ª Vara do Trabalho de Uberaba,3170107,81,0
00100221920225030041,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13673,Rural,2022-01-08,0,G1,1ª Vara do Trabalho de Uberaba,3170107,68,0
00114027020215030087,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13184,Honorários na Justiça do Trabalho ,2022-01-08,0,G1,1ª Vara do Trabalho de Betim,3106705,65,0
00100084520225030070,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13787,Adicional de Horas Extras,2022-01-09,0,G1,1ª Vara do Trabalho de Passos,3147907,241,1
00100071920225030019,TRT3,trabalho,156,Cumprimento de sentença,13787,Adicional de Horas Extras,2022-01-10,0,G1,19ª VARA DO TRABALHO DE BELO HORIZONTE,3106200,109,0
00100112120225030160,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13787,Adicional de Horas Extras,2022-01-10,0,G1,2ª Vara do Trabalho de Formiga,3126109,37,0
00100165120225030028,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13184,Honorários na Justiça do Trabalho ,2022-01-10,0,G1,3ª Vara do Trabalho de Betim,3106705,165,0
00112282020215030036,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13687,Intervalo Intrajornada,2022-01-10,0,G1,4ª Vara do Trabalho de Juiz de Fora,3136702,63,0
00114087720215030087,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13184,Honorários na Justiça do Trabalho ,2022-01-10,0,G1,4ª Vara do Trabalho de Betim,3106705,97,0
00114165420215030087,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13184,Honorários na Justiça do Trabalho ,2022-01-10,0,G1,1ª Vara do Trabalho de Betim,3106705,131,0
00114217620215030087,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13184,Honorários na Justiça do Trabalho ,2022-01-10,0,G1,5ª Vara do Trabalho de Betim,3106705,64,0
00100100720225030008,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13745,Anotação/Baixa/Retificação,2022-01-11,0,G1,8ª VARA DO TRABALHO DE BELO HORIZONTE,3106200,106,0
00100207620225030129,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13787,Adicional de Horas Extras,2022-01-11,0,G1,2ª Vara do Trabalho de Pouso Alegre,3152501,67,0
00114323720215030142,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13184,Honorários na Justiça do Trabalho ,2022-01-11,0,G1,3ª Vara do Trabalho de Betim,3106705,56,0
00114647620215030163,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13184,Honorários na Justiça do Trabalho ,2022-01-11,0,G1,5ª Vara do Trabalho de Betim,3106705,59,0
00100085520225030002,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13722,Reconhecimento de Relação de Emprego,2022-01-12,0,G1,2ª VARA DO TRABALHO DE BELO HORIZONTE,3106200,406,1
00100120920225030062,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13184,Honorários na Justiça do Trabalho ,2022-01-12,0,G1,Vara do Trabalho de Itaúna,3133808,80,0
00100121520225030157,TRT3,trabalho,1125,Ação Trabalhista - Rito Sumaríssimo,13787,Adicional de Horas Extras,2022-01-12,0,G1,Vara do Trabalho de Iturama,3134400,97,0
00100140820225030020,TRT3,trabalho,985,Ação Trabalhista - Rito Ordinário,13168,Extrajudicial ,2022-01-12,0,G1,20ª VARA DO TRABALHO DE BELO HORIZONTE,3106200,270,0
